Op_Count,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
500,559850.86,746850.53,1343641.75,2362491.20,2462290.03
1000,433301.47,601085.80,959943.48,2061366.89,1824125.15
1500,355428.84,491028.42,690019.38,1831222.34,1475759.18
2000,313875.02,437605.35,560198.04,1737097.28,1278090.84
2500,264645.03,382094.68,474732.37,1583232.43,1066093.53
3000,249305.52,347740.94,417235.15,1493418.50,952953.33
3500,231530.34,313915.62,375561.87,1424887.08,841449.11
4000,213108.95,284549.75,345950.55,1319207.26,760377.63
4500,199491.26,260882.96,323303.92,1270565.16,691596.62
5000,184518.02,243594.30,305002.10,1221805.02,639947.82
5500,175570.75,233020.54,290427.16,1168703.15,606132.14
6000,164344.97,219740.96,274085.52,1122296.25,570044.40
6500,154652.69,209854.65,258750.94,1072939.06,536117.54
7000,146115.47,202069.60,246256.46,1009172.37,507516.13
7500,139447.09,195754.18,234174.69,980405.36,481620.77
8000,133544.22,190510.29,222439.39,927785.36,455203.97
8500,128055.60,186831.69,211307.75,894304.00,434391.21
9000,122976.04,184290.04,200726.90,865572.88,415179.80
9500,118169.10,182619.86,191298.55,832391.93,397588.90
10000,0.00,0.00,0.00,0.00,0.00
